fips,Income
6001,"99,746"
6003,"72,734"
6005,"49,752"
6007,"54,694"
6009,"57,726"
6011,"54,511"
6013,"99,312"
6015,"43,951"
6017,"78,525"
6019,"51,422"
6021,"50,626"
6023,"53,607"
6025,"47,653"
6027,"62,090"
6029,"45,961"
6031,"43,176"
6033,"46,918"
6035,"39,394"
6037,"74,141"
6039,"45,757"
6041,"164,118"
6043,"61,343"
6045,"56,047"
6047,"46,580"
6049,"54,301"
6051,"64,164"
6053,"63,449"
6055,"90,608"
6057,"68,973"
6059,"81,034"
6061,"76,849"
6063,"57,193"
6065,"51,180"
6067,"61,829"
6069,"68,868"
6071,"49,493"
6073,"72,637"
6075,"160,749"
6077,"57,783"
6079,"66,617"
6081,"160,485"
6083,"73,995"
6085,"138,724"
6087,"85,554"
6089,"54,972"
6091,"47,135"
6093,"52,368"
6095,"65,448"
6097,"81,006"
6099,"52,356"
6101,"53,017"
6103,"48,042"
6105,"36,906"
6107,"47,986"
6109,"52,306"
6111,"73,375"
6113,"64,468"
6115,"48,984"
