fips,County Name,Real gross domestic product 2021
6001,Alameda County ,130465391
6003,Alpine County ,94933
6005,Amador County ,1612883
6007,Butte County ,8094801
6009,Calaveras County ,1368814
6011,Colusa County ,1194522
6013,Contra Costa County ,73533985
6015,Del Norte County ,721464
6017,El Dorado County ,7378023
6019,Fresno County ,41821044
6021,Glenn County ,1092967
6023,Humboldt County ,5170257
6025,Imperial County ,8412312
6027,Inyo County ,1184420
6029,Kern County ,47528806
6031,Kings County ,6074335
6033,Lake County ,1877770
6035,Lassen County ,1080110
6037,Los Angeles County ,711874201
6039,Madera County ,5948983
6041,Marin County ,28590581
6043,Mariposa County ,752739
6045,Mendocino County ,3307837
6047,Merced County ,8986693
6049,Modoc County ,460062
6051,Mono County ,1048415
6053,Monterey County ,26112268
6055,Napa County ,10062765
6057,Nevada County ,4063224
6059,Orange County ,238228949
6061,Placer County ,22716449
6063,Plumas County ,867066
6065,Riverside County ,83850304
6067,Sacramento County ,86452222
6069,San Benito County ,2418096
6071,San Bernardino County ,87551000
6073,San Diego County ,224954460
6075,City and County of San Francisco,200484675
6077,San Joaquin County ,30175157
6079,San Luis Obispo County ,15899992
6081,San Mateo County ,142240790
6083,Santa Barbara County ,28531154
6085,Santa Clara County ,382333994
6087,Santa Cruz County ,14951016
6089,Shasta County ,7496153
6091,Sierra County ,82035
6093,Siskiyou County ,1535958
6095,Solano County ,26796029
6097,Sonoma County ,28339324
6099,Stanislaus County ,21953592
6101,Sutter County ,3605674
6103,Tehama County ,1871437
6105,Trinity County ,359132
6107,Tulare County ,17361025
6109,Tuolumne County ,2228425
6111,Ventura County ,48642160
6113,Yolo County ,14144241
6115,Yuba County ,3012115
