FIPS,Per capita personal income1
48001,42444
48003,52943
48005,46170
48007,59878
48009,60101
48011,61382
48013,46737
48015,58284
48017,51709
48019,58706
48021,44230
48023,58779
48025,34738
48027,49405
48029,51780
48031,66088
48033,101470
48035,50943
48037,47792
48039,56360
48041,46702
48043,53014
48045,58862
48047,43437
48049,46028
48051,57482
48053,59381
48055,41642
48057,60589
48059,50963
48061,37861
48063,46705
48065,56357
48067,46101
48069,81900
48071,60591
48073,43376
48075,39953
48077,51938
48079,62305
48081,48804
48083,54822
48085,77006
48087,54140
48089,59219
48091,67063
48093,50112
48095,38635
48097,59800
48099,37476
48101,73613
48103,54119
48105,57013
48107,52897
48109,71297
48111,70511
48113,72218
48115,46139
48117,60615
48119,47471
48121,68773
48123,66916
48125,50869
48127,55771
48129,50574
48131,51887
48133,66400
48135,53610
48137,73981
48139,53393
48141,44064
48143,46906
48145,43658
48147,46449
48149,65339
48151,57245
48153,53292
48155,61279
48157,65797
48159,51926
48161,44014
48163,39898
48165,50616
48167,60071
48169,36426
48171,78039
48173,124963
48175,55947
48177,57578
48179,49815
48181,52055
48183,52958
48185,41914
48187,52190
48189,43543
48191,48706
48193,77672
48195,77093
48197,54847
48199,52544
48201,65869
48203,47928
48205,75790
48207,54321
48209,56097
48211,75731
48213,48594
48215,34503
48217,49968
48219,52586
48221,60912
48223,50272
48225,48835
48227,51007
48229,42500
48231,46801
48233,50130
48235,78988
48237,45263
48239,51971
48241,49475
48243,59302
48245,48243
48247,43336
48249,50892
48251,51619
48253,38914
48255,73144
48257,49494
48259,96628
48261,47141
48263,55725
48265,61401
48267,54345
48269,91930
48271,42929
48273,45818
48275,50320
48277,50699
48279,54689
48281,58507
48283,52652
48285,62375
48287,56674
48289,53179
48291,42813
48293,47439
48295,102569
48297,46134
48299,59689
48301,115158
48303,50881
48305,58496
48307,45744
48309,49512
48311,110273
48313,40859
48315,47582
48317,84121
48319,57094
48321,50775
48323,38448
48325,50076
48327,47390
48329,126738
48331,45286
48333,51712
48335,35417
48337,45716
48339,68974
48341,56634
48343,47226
48345,41754
48347,46246
48349,45616
48351,43123
48353,52629
48355,52852
48357,64247
48359,72126
48361,48912
48363,52042
48365,53292
48367,65358
48369,63512
48371,43661
48373,47994
48375,55764
48377,61776
48379,41563
48381,56381
48383,61077
48385,55449
48387,53818
48389,52811
48391,54475
48393,56868
48395,52894
48397,70833
48399,51307
48401,44874
48403,44900
48405,50573
48407,46477
48409,51392
48411,43735
48413,51775
48415,47138
48417,93075
48419,54640
48421,122945
48423,60284
48425,54826
48427,34933
48429,48498
48431,65866
48433,73182
48435,68431
48437,72623
48439,58940
48441,58316
48443,63481
48445,45353
48447,69390
48449,48007
48451,59877
48453,81708
48455,47101
48457,41613
48459,43308
48461,61595
48463,53257
48465,46642
48467,45045
48469,58479
48471,33345
48473,49404
48475,55099
48477,61295
48479,40850
48481,52948
48483,49906
48485,50210
48487,59952
48489,37792
48491,62931
48493,55762
48495,66180
48497,53871
48499,47546
48501,51954
48503,58602
48505,33288
48507,43868
