FIPS,Unemployment
1001,736
1003,2919
1005,459
1007,294
1009,598
1011,182
1013,452
1015,1871
1017,570
1019,296
1021,561
1023,197
1025,450
1027,164
1029,152
1031,607
1033,919
1035,208
1037,133
1039,458
1041,202
1043,911
1045,659
1047,988
1049,787
1051,1013
1053,566
1055,1576
1057,203
1059,362
1061,307
1063,189
1065,324
1067,219
1069,1576
1071,657
1073,11361
1075,170
1077,1320
1079,418
1081,2162
1083,1138
1085,311
1087,459
1089,5060
1091,320
1093,377
1095,1067
1097,8806
1099,405
1101,5009
1103,1527
1105,253
1107,303
1109,509
1111,258
1113,714
1115,1079
1117,2519
1119,200
1121,1455
1123,711
1125,3593
1127,901
1129,299
1131,275
1133,278
